country,university
AE,United Arab Emirates University
AE,United Arab Emirates University
AU,Australian National University
AU,Australian National University
AU,Australian National University
AU,Charles Darwin University
AU,Charles Darwin University
AU,Deakin University
AU,Deakin University
AU,Griffith University
AU,Griffith University
AU,La Trobe University
AU,La Trobe University
AU,Macquarie University
AU,Macquarie University
AU,Monash University
AU,Monash University
AU,Murdoch University
AU,Murdoch University
AU,Queensland University of Technology
AU,Queensland University of Technology
AU,Swinburne University of Technology
AU,Swinburne University of Technology
AU,University of Adelaide
AU,University of Adelaide
AU,University of Melbourne
AU,University of Melbourne
AU,University of Newcastle
AU,University of Newcastle
AU,University of New South Wales
AU,University of New South Wales
AU,University of South Australia
AU,University of South Australia
AU,University of Sydney
AU,University of Sydney
AU,University of Sydney
AU,University of Sydney
AU,University of Tasmania
AU,University of Tasmania
AU,University of Western Australia
AU,University of Western Australia
AU,University of Wollongong
AU,University of Wollongong
BE,Vrije Universiteit Brussel
BE,Vrije Universiteit Brussel
CA,Carleton University
CA,Carleton University
CA,Concordia University
CA,Concordia University
CA,Dalhousie University
CA,Dalhousie University
CA,McGill University
CA,McGill University
CA,McGill University
CA,McGill University
CA,McMaster University
CA,McMaster University
CA,Memorial University of Newfoundland
CA,Memorial University of Newfoundland
CA,Simon Fraser University
CA,Simon Fraser University
CA,University of Alberta
CA,University of Alberta
CA,University of Alberta
CA,University of British Columbia
CA,University of British Columbia
CA,University of British Columbia
CA,University of British Columbia
CA,University of Calgary
CA,University of Calgary
CA,University of Guelph
CA,University of Guelph
CA,University of Manitoba
CA,University of Manitoba
CA,University of Ottawa
CA,University of Ottawa
CA,University of Regina
CA,University of Regina
CA,University of Saskatchewan
CA,University of Saskatchewan
CA,University of Toronto
CA,University of Toronto
CA,University of Toronto
CA,University of Toronto
CA,University of Victoria
CA,University of Victoria
CA,University of Waterloo
CA,University of Waterloo
CA,York University
CA,York University
US,York University
US,York University
CH,University of Basel
CH,University of Basel
CH,University of Fribourg
CH,University of Fribourg
CH,University of Geneva
CH,University of Geneva
CH,University of Geneva
CH,University of Geneva
CH,University of Lausanne
CH,University of Lausanne
CN,Beijing Institute of Technology
CN,Beijing Institute of Technology
CN,China Agricultural University
CN,China Agricultural University
CN,Chongqing University
CN,Chongqing University
CN,Dalian University of Technology
CN,Dalian University of Technology
CN,East China Normal University
CN,East China Normal University
CN,East China University of Science and Technology
CN,East China University of Science and Technology
CN,Fudan University
CN,Fudan University
CN,Harbin Institute of Technology
CN,Harbin Institute of Technology
CN,Huazhong University of Science and Technology
CN,Huazhong University of Science and Technology
CN,Hunan University
CN,Hunan University
CN,Jilin University
CN,Jilin University
CN,Nanjing University
CN,Nanjing University
CN,Northeastern University
CN,Northeastern University
US,Northeastern University
US,Northeastern University
CN,Ocean University of China
CN,Ocean University of China
CN,Peking University
CN,Peking University
CN,Renmin University of China
CN,Shanghai University
CN,Shanghai University
CN,Sichuan University
CN,Sichuan University
CN,South China University of Technology
CN,South China University of Technology
CN,Tianjin University
CN,Tianjin University
CN,Tongji University
CN,Tongji University
CN,Tsinghua University
CN,Tsinghua University
CN,University of Electronic Science and Technology of China
CN,University of Electronic Science and Technology of China
CN,University of Science and Technology Beijing
CN,University of Science and Technology Beijing
CN,University of Science and Technology of China
CN,University of Science and Technology of China
CN,Wuhan University
CN,Wuhan University
CN,Wuhan University of Technology
CN,Wuhan University of Technology
CN,Xiamen University
CN,Xiamen University
CN,Zhejiang University
CN,Zhejiang University
CY,University of Cyprus
CY,University of Cyprus
CZ,Masaryk University
CZ,Masaryk University
DK,Aalborg University
DK,Aalborg University
DK,Aarhus University
DK,Aarhus University
DK,Technical University of Denmark
DK,Technical University of Denmark
DK,University of Southern Denmark
DK,University of Southern Denmark
EE,University of Tartu
EE,University of Tartu
EG,Alexandria University
EG,Alexandria University
EG,Cairo University
EG,Cairo University
FI,Tampere University of Technology
FI,Tampere University of Technology
FI,University of Helsinki
FI,University of Helsinki
FI,University of Helsinki
FI,University of Helsinki
FI,University of Jyväskylä
FI,University of Jyväskylä
FI,University of Oulu
FI,University of Oulu
FI,University of Tampere
FI,University of Tampere
FI,University of Turku
FI,University of Turku
GB,Aston University
GB,Aston University
GB,Cardiff University
GB,Cardiff University
GB,Heriot-Watt University
GB,Heriot-Watt University
GB,Imperial College London
GB,Imperial College London
GB,Imperial College London
GB,Imperial College London
GB,Keele University
GB,Keele University
GB,Liverpool John Moores University
GB,Liverpool John Moores University
GB,Loughborough University
GB,Loughborough University
GB,University of Aberdeen
GB,University of Aberdeen
GB,University of Bath
GB,University of Bath
