statename,population,code
Alabama,4903185.00,AL
Alaska,731545.00,AK
Arizona,7278717.00,AZ
Arkansas,3017804.00,AR
California,39512223.00,CA
Colorado,5758736.00,CO
Connecticut,3565287.00,CT
Delaware,973764.00,DE
District of Columbia,705749.00,DC
Florida,21477737.00,FL
Georgia,10617423.00,GA
Hawaii,1415872.00,HI
Idaho,1787065.00,ID
Illinois,12671821.00,IL
Indiana,6732219.00,IN
Iowa,3155070.00,IA
Kansas,2913314.00,KS
Kentucky,4467673.00,KY
Louisiana,4648794.00,LA
Maine,1344212.00,ME
Maryland,6045680.00,MD
Massachusetts,6892503.00,MA
Michigan,9986857.00,MI
Minnesota,5639632.00,MN
Mississippi,2976149.00,MS
Missouri,6137428.00,MO
Montana,1068778.00,MT
Nebraska,1934408.00,NE
Nevada,3080156.00,NV
New Hampshire,1359711.00,NH
New Jersey,8882190.00,NJ
New Mexico,2096829.00,NM
New York,19453561.00,NY
North Carolina,10488084.00,NC
North Dakota,762062.00,ND
Ohio,11689100.00,OH
Oklahoma,3956971.00,OK
Oregon,4217737.00,OR
Pennsylvania,12801989.00,PA
Rhode Island,1059361.00,RI
South Carolina,5148714.00,SC
South Dakota,884659.00,SD
Tennessee,6829174.00,TN
Texas,28995881.00,TX
Utah,3205958.00,UT
Vermont,623989.00,VT
Virginia,8535519.00,VA
Washington,7614893.00,WA
West Virginia,1792147.00,WV
Wisconsin,5822434.00,WI
Wyoming,578759.00,WY
